ship_id,name,url,image_url,description,ship_class,year_built,year_refurbished,propulsion,hull_type,passenger_capacity,passenger_capacity_range,number_of_cabins,longest_bed_size_inches,minimum_age_for_children,childrens_discount,fuel_surcharge,num_itineraries,best_itinerary_rating,avg_itinerary_rating,internet_access,outdoor_dining,scuba_diving,kayaks_on_board,soap_and_shampoo_provided,hairdryers_provided,air_conditioning_controllable_in_cabin,wetsuits_free_of_charge,snorkel_gear_free_of_charge,has_jacuzzi_hot_tub,has_exercise_room_or_machines,has_medical_professional_onboard,has_glass_bottom_boat,has_dedicated_family_departures,accept_children_of_any_age,has_discounts_for_children,bunk_beds_only,interconnecting_cabins,triple_cabins,solo_passenger_cabins,cabins_with_private_balconies,beds_have_footboards,tall_person_friendly,reduced_mobility_friendly,solo_traveller_friendly,high_low_season_price,christmas_holiday_surcharge,member_of_local_industry_association
1299,Grand Majestic,https://www.galapagosadvisor.com/ships/grand-majestic/,https://www.galapagosadvisor.com/media/1075/exterior-3.jpg,"Grand Majestic is the only modern charter yacht cruising the Galapagos. This elegantly sporty yacht is the fastest in the Islands and offers high-quality service, a Master Suite and luxurious social areas. O n the sundeck, you will have the opportunity to relax with a drink from the bar or soak in the jacuzzi. Our nine double cabins equipped with air conditioning and private bathroom with hot water.",First Class,2018,0,Motor,Monohull,16,8 - 16,8,,6,"10% discount for children under 12 years old, on the date of travel. 1 child for each adult",$0.00,4,66.0,64.5,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True
4229,Hermes,https://www.galapagosadvisor.com/ships/hermes/,https://www.galapagosadvisor.com/media/1403215/hermes-ship.png,"Hermes Mega Catamaran is the first Ultra-Luxury Cruise to sail in the Galapagos Islands. With a guest capacity capped at 20 guests maximum, Hermes provides an unrivalled experience through exclusivity, high end ammenities and a crew to guest ratio of almost 1 to 1. Onboard Hermes you can experience the intimacy of a small vessel without compromising the amenities of a larger cruise ship. All of our Suites feature their own private balconies and private jacuzzi overlooking the ocean. Enjoy from our premium beverage menu complimentary during your stay. Relax after a day of discovery in the islands with the pampering of our butler service or from purification in our Hammam with views to stunning Galapagos’ landscapes.",Luxury,0,0,Motor,Catamaran,20,17 - 32,10,,6,"Child discount is 15% if travelling with 2 adults and under 12 years of age. Discount does not apply on discounted, promotional rates, or peak season.",,0,,,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True
4227,Horizon,https://www.galapagosadvisor.com/ships/horizon/,https://www.galapagosadvisor.com/media/1403213/horizon-ship.png,"Horizon is outfitted with 8 elegant and ample cabins, each with their own private balcony. Her amenities include a modern lounge, bar, al fresco dining area, and an extensive solarium with jacuzzi, designed to catch the best sights that the islands can offer, surrounded by endless charm. This cruise can comfortably accommodate 16 travelers who can choose 4, 5 or 8-day itineraries, visiting the most outstanding points in the islands, led by a certified bilingual naturalist guide and enjoying excellent service provided by crew members and a cruise director.",Luxury,2018,0,Motor,Monohull,16,8 - 16,8,,6,10% discount for children under 12 years old. 1 child per/1 adult adulto,,0,,,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False
3782,Infinity,https://www.galapagosadvisor.com/ships/infinity/,https://www.galapagosadvisor.com/media/1403161/infinity-exterior-1.jpg,The Infinity is our most modern yacht (2018) with unrivalled spacious luxurious cabins and suites. Outside dining and bar and also a solarium allow you to cruise the Galapagos in tremendous style and sumptuous luxury. All eight cabins and two suites have private balconies.,Luxury,2018,0,Motor,Monohull,20,17 - 32,10,,6,10% for children under 12 years old on the date of travel. 1 child per adult,,4,72.0,65.5,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,False,True,True,True,False,True,False
1295,Integrity,https://www.galapagosadvisor.com/ships/integrity/,https://www.galapagosadvisor.com/media/1069/integrity-ship.jpg,"Integrity—a 141 ft. luxury yacht customized to carry 16 adventurers in comfort, safety and style. Built in the USA, the Integrity conforms to exacting standards for luxury Galápagos cruising. All systems including engines, stabilizers, electronics, water filtration and sterilization are new, as are the interior decorations and furnishings. With its huge state-of-the-art stabilizers and engine vibration control system, the Integrity will carry you through Darwin's Islands more smoothly than any other yacht. You'll enjoy peerless comfort as you tuck into your spacious, cabin or relax in the sun and watch the frigates soar overhead!",Luxury,2005,2016,Motor,Monohull,16,8 - 16,9,77,8,$500 ages 8-17,$0.00,2,70.0,67.0,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True
1296,ISABELA II,https://www.galapagosadvisor.com/ships/isabela-ii/,https://www.galapagosadvisor.com/media/1070/ship_147311440643.jpg,"With a capacity of only forty guests, Isabela II offers a relaxed atmosphere where guests can enjoy an unforgettable Galapagos expedition, and fully experience their sense of discovery and bonding with nature. Our classic Yacht Isabela II offers an in-depth week-long itinerary, allowing guests to enjoy all the flora and fauna that the Galapagos Islands are famous for. Passengers aboard Isabela II will enjoy its three public decks which include a bar/lounge, an ample sundeck, an elegant dining room, an observation area, a reading room, a library, a Jacuzzi and a boutique/shop.",First Class,1979,2016,Motor,Monohull,40,33 - 60,20,78,6,Children under 12 sharing a cabin with an adult: 10% off. This discount will not be applied in Peak Season departures,$0.00,3,70.0,67.0,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,True
1297,King of the Sea,https://www.galapagosadvisor.com/ships/king-of-the-sea/,https://www.galapagosadvisor.com/media/1072/king-of-the-seas-2.jpg,The King of the Seas is one of the smaller yachts out there that accommodates only 12 passengers. This economic Yacht offers just the necessary comfort for a great and affordable price.,Tourist,1981,2012,Motor,Monohull,12,8 - 16,6,75,4,10% discount for children under 12 years,$0.00,6,66.0,63.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
1298,LA PINTA,https://www.galapagosadvisor.com/ships/la-pinta/,https://www.galapagosadvisor.com/media/1073/la-pinta-ship.jpg,"Galapagos explorers can now enjoy an expedition adventure in the comfort and safety of the 48-guest yacht La Pinta. La Pinta offers a relaxed yet lavish expedition atmosphere, with plush outside cabins featuring fine cotton linen, duvets, and choice of pillows. The crew is made up of professionals, passionate about the Galapagos and ready to cater to the needs of the most discerning guests. While on-board La Pinta, guests will enjoy our highest standards of service.",Luxury,2007,2016,Motor,Monohull,48,33 - 60,24,78,4,Children under 12 sharing a cabin with one adult: 10% off.,$0.00,3,69.0,66.7,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True
1589,LEGEND,https://www.galapagosadvisor.com/ships/legend/,https://www.galapagosadvisor.com/media/1074/legend-ship.jpg,"This legendary, one hundred-passenger, Luxury vessel offers all the amenities of a large cruise liner without sacrificing the intimacy you'd expect on a small sailing craft. The luxurious Legend is equipped with five decks, a swimming pool, and a library. She also has exercise equipment, international phone/fax/Internet, 24-hour/pay medical service, the most technologically advanced safety system in the archipelago, and much more. Enjoy the wonders of the Galapagos while being catered to by our",Luxury,2002,2013,Motor,Monohull,100,61 - 100,57,74,6,25% discount sharing cabin with full-fare paying guests. 50% discount sharing cabin with two full-fare paying guests where the triple cabin is possible,$180,6,69.0,66.0,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
1773,Lonesome George,https://www.galapagosadvisor.com/ships/lonesome-george/,https://www.galapagosadvisor.com/media/1090/lonesome-george-ship.png,"This beautiful catamaran accommodates 16 people in 8 large double cabins, with 4 twin size beds, 2 triples and 2 singles beds each equipped with electric baths, hot water showers, air conditioning, electricity 12 and 120 volts. It also has dining areas inside and outside, complete navigation equipment, solar panel with which all instruments and systems are working the boat, which makes it completely ecological.",Tourist Superior,2014,2016,Motor & Sail,Catamaran,16,8 - 16,8,,,20% off for children under 11 years.,0,1,62.0,62.0,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False
